src,tgt,hyp,ref,task,label
"Having deposited our mournful burden upon tressels within this region of horror , we partially turned aside the yet <define> unscrewed </define> lid of the coffin , and looked upon the face of the tenant .",Not having been screwed.,That has been unscrewed.,tgt,DM,0
"The dirty secret of the internet is that all this distraction and interruption is immensely profitable . Web companies like to boast about [ … ] , or offering services that let you "" <define> stay </define> up to date with what your friends are doing "" , [ … ] and so on . But the real way to build a successful online business is to be better than your rivals at undermining people 's control of their own attention .","(intransitive, copulative) To continue to have a particular quality.",(intransitive) To continue to do something.,tgt,DM,1
"She said : "" So I sure got my hands full . "" Handful . To mean : <define> handlesome </define> . Fit to be handed from hand to hand . Hand me down my walkincane .","(rare) Typified by, or requiring handling; (by extension) difficult to manage",(colloquial) Handy; capable of being handled.,tgt,DM,1
Named Tasmania 's first ever All Australian at the 1953 Adelaide carnival ( when he was playing at North Launceston ) Leedham is regarded by many as being the best footballer ever produced in the <define> Apple Isle </define> .,"(Australia, informal) Tasmania.",(Australia) The state of Tasmania.,tgt,DM,0
"As the <define> joblife </define> becomes a smaller percentage of the life cycles of most peoples , the traditions of social policy must adopt more adequate ways of social security .",That portion of one's life in which one is gainfully employed,The period of time during which a person is employed.,tgt,DM,1
"At home I lay down and sank into a not unpleasant <define> intoxicatedlike </define> condition , characterized by an extremely stimulated imagination .",(rare) Alternative form of intoxicated-like,Resembling or characteristic of intoxication.,tgt,DM,0
an <define> irritative </define> fever,"accompanied with, or produced by, increased action or irritation",(medicine) Causing irritation.,tgt,DM,1
I 'm going to <define> uni </define> after I leave school .,"(colloquial, chiefly, Britain, Australia, NZ, Canada) University.",(informal) university,tgt,DM,0
"Hyaline cells exhibit α - CasPPO - hemo immunostaining only at postmolt stage ( Fig 5A and 5B ; n = 5–6 ) , while semigranulocytes are <define> immunosensitive </define> only at early premolt and postmolt stages .",(immunology) sensitive to allergens; allergic,(immunology) Capable of being immunosensitive.,tgt,DM,1
No more midnight oil — for why should he be a <define> slave of the lamp </define> ? No more worry .,"(jocular) A person who works by lamplight, or works with electrical apparatus.","(idiomatic, by extension) A person who is enslaved by a job, a job, or a situation.",tgt,DM,1
The answer appears on the <define> thirty - second </define> page of the book .,"The ordinal form of the number thirty-two, describing a person or thing in position number 32 of a sequence.","The ordinal form of the number thirty-two, describing a person or thing in position number 32 of a sequence.",tgt,DM,0
"Put it down and walk away ... straight to the crime section of your bookstore , where I 'd suggest you start with The Hunter , the first book in his classic series about Parker , the <define> heister </define> 's heister   [ … ]",(rare) A thief or burglar.,"One who, or that which, heists.",tgt,DM,0
"Furthermore , though there are those who complain of official France , the <define> bunglesome </define> administration , the interminable red tape , I was not one of those who suffered any great inconvenience from these obstacles to progress .",Characterised or marked by bungling; ungainly; awkward; incompetent,"(informal) Unwieldy, complicated, or difficult to deal with.",tgt,DM,1
"Because the Sydney newspaper scene was dominated by a culture of alcohol - fuelled <define> blokeyness </define> , sexism and misogyny , Murdoch and Rabin introduced some groundbreaking recruitment practices .",The state or quality of being blokey.,(informal) The state or quality of being a bloke.,tgt,DM,0
"Four of the 32 251 Ku aircraft turned back , but the other 28 fought for 20 minutes against a reported 100 enemy aircraft , claiming 18 destroyed and five <define> probables </define> .",Something that is likely.,(military) An aircraft that has not yet been destroyed.,tgt,DM,1
"Fall may be the season of <define> poachable </define> fruit — apples in cider with vanilla , pears in pear juice with ginger   [ … ]",Suitable for being cooked by poaching.,(obsolete) Capable of being eaten.,tgt,DM,1
The exam was so hard we assumed the question <define> setter </define> must have been in a bad mood .,"One who sets something, such as a challenge or an examination.",One who sets a question.,tgt,DM,1
"When a problem reoccurs after surgery , it might be necessary to <define> reoperate </define> on a patient .","(intransitive, surgery) to operate (surgically) again (on the same thing as a previous operation).",(transitive) To perform (a surgery) again.,tgt,DM,1
"No matter how many <define> dietologists </define> , doctors , or journalists tell you that carbohydrates are bad for you , the brain runs on glucose , and glucose is a carbohydrate .",A specialist in dietology.,(informal) A dietitian.,tgt,DM,0
"New vasculature , under the influence of angiogenic growth factors , may grow from the <define> vaso vasorum </define> within the adventitia into the plaque .",(anatomy),(medicine) vasculature,tgt,DM,1
I felt <define> dehydrated </define> because I did n't bring enough water on the hike .,to lose or remove water; to dry,(intransitive) To become dehydrated.,tgt,DM,0
"Some in learning 's garb , With formal band , and sable - cinctur'd gown , And rags of <define> mouldly </define> volumes .",(obsolete) mouldy,Resembling or characteristic of a mould.,tgt,DM,0
"He comes outside when weather 's fine / To hang his singlets on the line , / And then returns - he needs no bell - / The scouse , or Sunday 's duff to share ; / The stokers <define> tabnabs </define> need his care ; / The sea sounds far away in there , / Ssssssssh , like the hush in a conch - shell .","(slang, British, Navy) A small item of food offered at break times, normally the morning break.",(obsolete) A stoker.,tgt,DM,1
"He had heard that in far - away France the motley was not confined to men . Had not Jeanne , queen of Charles I , possessed her jestress , Artaude de Puy , "" folle to our dear companion , "" as said the king ? Had not Madame d'Or , wearer of the bells , kept the nobles laughing ? Had not the haughty , eccentric Don John , his handsome , merry <define> joculatrix </define> , attached to his princely household ?","(obsolete) A female joculator; a female jester, comedian or entertainer.",A female jockey.,tgt,DM,1
""" Tickets will be available at the door for a cool 10 <define> dollarydoos </define> . ""","(Australia, informal, finance) The Australian dollar.","(Australia, New Zealand, slang) A dollar.",tgt,DM,0
"Almost all these magnificent buildings were used for ordinary theatrical performances during the 5th century . All of them , however , contain elements which are evidence that the <define> orchestrae </define> were not only used during musical or histrionic events but also for gladiatorial combats and hunts , which were a merciless way of eliminating huge numbers of Christians .   [ … ]   Execution was performed in public , in the arenas or ochestrae of the amphitheatres and theatres , and was particularly common during the reigns of Nero , Trajan Decius , Diocletian and other of the Roman emperors .",(rare),(historical) An amphitheatre.,tgt,DM,1
"His conceptualization eschews some crucial normative and epistemological distinctions between various forms or modalities of translation , especially between stronger and weaker ones ( or <define> reificatory </define> and non - reificatory ones ) and , in doing so , impairs our ability to evaluate them , viz . of choosing the side of the weak .",That reifies.,Of or pertaining to reification.,tgt,DM,0
The <define> judgess </define> demands in her charge to the jury to “ despise and hate all men and to bring up your children to do the same . ”,(obsolete) A female judge.,A female judge.,tgt,DM,0
One could take them for threads of wool like those which you pull out of an old <define> ravelly </define> stocking .,tangly; entwined like fibres,Resembling or characteristic of a rave.,tgt,DM,1
"It is generally believed that the creation of the <define> Kuomintang </define> will somewhat straighten out the political tangle in China caused by the multitude of parties . The Kuomintang holds itself out as the democratic party , and its support of the President will be tempered by the path his future actions take .","A nationalist political party founded under Sun Yat-sen in 1912 that ruled mainland China from 1928 to 1949, now one of three major parties in the Republic of China (Taiwan).",(historical) A political party in the People's Republic of China.,tgt,DM,0
""" He might not have meant to ignore her , "" answered Isabel thoughtfully ; "" he might have chosen not to introduce her because he felt too proud of her to subject her to any possible <define> misappreciation </define> from them . ""","(dated) An observed failure to appreciate the proper worth of a person, an act or a thing.",The state of being misappreciated.,tgt,DM,0
Our prototype implements a basic pharming attack to selectively <define> misresolve </define> the client domain name requests .,(transitive) To resolve incorrectly.,"(transitive, computing) To resolve incorrectly.",tgt,DM,0
"This done , he <define> reimportuned </define> Victor Riley , who , knowing now what Fred had known for weeks about the T.T. engine inventory , had one of the spares gift wrapped and released to the gruff little Yorkshireman .",To importune again.,(transitive) To import again.,tgt,DM,1
"However , as the beaks lack hooks typical for carnivorous birds , and calcium isotopes in the bones do not support a meat - based diet ( Angst et al . , 2014 ) , it is now assumed that <define> gastornithids </define> were herbivores .",(zoology) Any extinct bird in the family Gastornithidae.,(zoology) Any bird of the family Gastornithidae.,tgt,DM,1
"The small cadre of confirmed bachelors is excluded from the sample universe , and depending upon the dates of the records studied there can be an interaction between history and <define> groomdom </define> .",Grooms collectively.,The state or condition of being a groom.,tgt,DM,0
The original plan may have been for nothing more than an extended <define> pancarte </define> to cover the increasing number of donations around the mother house .,(obsolete) A royal charter confirming to a subject all his possessions.,(informal) A pancake breakfast.,tgt,DM,1
"We characterized the skull morphology of 19 species of <define> xenodontine </define> snakes using geometric morphometric techniques , and used phylogenetic comparative methods to test the association between diet and skull morphology .",(zoology) Belonging to a group of colubrid snakes with unusual teeth.,(zoology) Of or pertaining to the family Xenodontidae.,tgt,DM,1
The <define> headend </define> cable modem handles the medium access control ( MAC ) protocol which is necessary for point - to - multipoint operation on the tree - and - branch network .,"A cable TV control centre, at which terrestrial and satellite signals are received, monitored and injected into the cable network.",(computing) The part of a computer system that is responsible for processing the input and output of other systems.,tgt,DM,1
No refinement in him would now have surprised her ; but neither would any outbreak of <define> boorishness </define> .,The state or characteristic of being a boor or of being boorish; boorish behaviour.,The quality of being boorish.,tgt,DM,0
"Oft the fins of the volcano frantic with burning rage , madly heaves and struggles in the restless bosom of the mountain , and shaking the ponderous globe , scornfully <define> overleak </define> the rock walls within which they have been impaled , until their "" Horrid roar embowels with outrageous noise the air "" and blazing ruin scorches the fertile field and plain , and proud cities , with all their splendors , pomp , and wealth are submerged beneath the dark deep foundations by some gigantic impulse ...",To leak over.,(transitive) To leak out.,tgt,DM,1
"Often tricked into running up debts or signing their deeds directly over to these <define> landmongers </define> , the traditionalists appealed to the federal government for help .",An unscrupulous dealer in land.,"(Australia, New Zealand, historical) A person who attempts to acquire land by fraud.",tgt,DM,0
"<define> Ashers </define> offer such good arguments . Like : "" You 're dumb . ""","A member of the alt.suicide.holiday newsgroup, which deals with the topics of suicide and depression.","(slang, derogatory) A person of Asian descent.",tgt,DM,1
All companies working with series and <define> job production </define> state that they are using ramp - up management .,(business) The production of one or a very small number of customized made-to-order goods for a single customer.,The production of jobs.,tgt,DM,1
"These words were jabbered as fast as ever tongue could utter them , and when he had finished , up he jumped , again commenced the same mad rotations , and broke into the same extravagant <define> cantation </define> as before .",(obsolete) A singing.,"(countable, uncountable) The act of speaking in a cantorial manner.",tgt,DM,1
"4 . On 17 July , 3,000 infantry troops with several artillery pieces left Foochow in the direction of <define> Lienchiang </define> ( 119 - 31 , 26 - 12).5 . Beginning on 17 July Foochow had heavy rains on consecutive days . By 20 July floods had destroyed many houses , and more than 300,000 persons were distressed .",", a county in Fuzhou, Fujian, China","A prefecture-level city in Guangdong, China.",tgt,DM,1
"Back in Belding , he was always the tough guy , the one who rode around in his dad 's Pontiac Lemans with the vinyl top and the automatic on the floor . He drove that car like he was the <define> King Shit of Turd Island </define> , and I guess all of us was .","(idiomatic, slang, vulgar, derogatory) An individual with pretensions of great importance.","(slang, vulgar, derogatory) A person who is considered to be the best in his or her field.",tgt,DM,1
"An impish , balding man , he mimicked the inventor Buckminster Fuller , who documented his life in what he called a <define> chronofile </define> by pasting letters , bills and all manner of pieces of paper in a huge scrapbook for 68 years .",A historical record made up of everyday papers and documents from many stages of the owner's life.,(historical) A scrapbook used by Buckminster Fuller to record his life.,tgt,DM,1
"They are usually untrained , <define> unscreened </define> and unsupervised [ … ] .","Not screened, or not having been screened",Not screened.,tgt,DM,0
<define> furfurous </define> bread,furfuraceous,Of or pertaining to furries.,tgt,DM,1
"Yet , he indicated on the base of recent literature , there is a lot of ignored anticipation going on , and the assumption of <define> unanticipation </define> simply does not hold anymore ,   [ … ]",Lack of anticipation.,The state or condition of not anticipating.,tgt,DM,0
